"file_name","part_code","day_of_recording","recording_number","topic","file_name_csv","duration_original","vocab_size","age","order"
"P_0310_17_6_MEAL__","P_0310",27,6,"MEAL","P_0310_17_6_MEAL__.csv",1847,26,17.72093635,117
"P_0471_25_2_MEAL__","P_0471",13,2,"MEAL","P_0471_25_2_MEAL__.csv",2168,43,25.05260389,118
"P_0345_19_3_BED__BATH","P_0345",114,3,"BED","P_0345_19_3_BED__BATH.csv",1617,123,19.62782746,119
"P_0394_20_2_BED__","P_0394",30,2,"BED","P_0394_20_2_BED__.csv",1436,38,20.25249868,120
"P_0296_22_5_BED__","P_0296",45,5,"BED","P_0296_22_5_BED__.csv",133,218,22.75118359,121
"P_0346_18_1_BED__","P_0346",52,1,"BED","P_0346_18_1_BED__.csv",824,15,18.93740137,122
"P_0418_24_8_BATH__","P_0418",175,8,"BATH","P_0418_24_8_BATH__.csv",433,121,24.5594424,123
"P_0418_23_4_MEAL__","P_0418",147,4,"MEAL","P_0418_23_4_MEAL__.csv",838,99,23.50736454,124
"P_0159_28_4_NAPPY__","P_0159",107,4,"NAPPY","P_0159_28_4_NAPPY__.csv",1532,60,28.47185692,125
"P_0471_26_6_NAPPY__","P_0471",56,6,"NAPPY","P_0471_26_6_NAPPY__.csv",1116,140,26.20331405,126
"P_0163_22_1_MEAL__","P_0163",0,1,"MEAL","P_0163_22_1_MEAL__.csv",1304,98,22.68542872,127
"P_0359_21_9_MEAL__","P_0359",115,9,"MEAL","P_0359_21_9_MEAL__.csv",1477,25,21.17306681,128
"P_0458_16_4_PLAY__","P_0458",52,4,"PLAY","P_0458_16_4_PLAY__.csv",2043,43,16.83324566,129
"P_0130_21_7_BATH__","P_0130",81,7,"BATH","P_0130_21_7_BATH__.csv",1271,107,21.63335087,130
"P_0220_20_3_BATH__","P_0220",83,3,"BATH","P_0220_20_3_BATH__.csv",1494,155,20.91004734,131
"P_0339_26_7_BED__","P_0339",149,7,"BED","P_0339_26_7_BED__.csv",1483,222,26.49921094,132
"P_0137_23_7_BATH__BED","P_0137",83,7,"BATH","P_0137_23_7_BATH__BED.csv",1091,116,23.83613887,133
"P_0488_30_3_BATH__","P_0488",87,3,"BATH","P_0488_30_3_BATH__.csv",1228,64,30.74039979,134
"P_0489_19_8_MEAL__","P_0489",115,8,"MEAL","P_0489_19_8_MEAL__.csv",283,17,19.33193056,135
"P_0489_19_9_MEAL__","P_0489",115,9,"MEAL","P_0489_19_9_MEAL__.csv",443,17,19.33193056,136
"P_0505_18_9_NAPPY__","P_0505",155,9,"NAPPY","P_0505_18_9_NAPPY__.csv",1436,60,18.18122041,137
"P_0346_22_7_NAPPY__","P_0346",156,7,"NAPPY","P_0346_22_7_NAPPY__.csv",690,106,22.35665439,138
"P_0427_17_1_PLAY__","P_0427",66,1,"PLAY","P_0427_17_1_PLAY__.csv",1678,16,17.68805892,139
"P_0524_21_1_PLAY__","P_0524",55,1,"PLAY","P_0524_21_1_PLAY__.csv",1969,27,21.14018937,140
"P_0243_19_9_MEAL__","P_0243",128,9,"MEAL","P_0243_19_9_MEAL__.csv",1233,154,19.82509206,141
"P_0463_15_3_BED__","P_0463",41,3,"BED","P_0463_15_3_BED__.csv",1962,14,15.32088375,142
"P_0502_21_10_BATH__","P_0502",165,10,"BATH","P_0502_21_10_BATH__.csv",1799,153,21.92924776,143
"P_0480_20_5_PLAY__","P_0480",89,5,"PLAY","P_0480_20_5_PLAY__.csv",1475,28,20.05523409,144
"P_0449_17_2_BED__","P_0449",47,2,"BED","P_0449_17_2_BED__.csv",401,25,17.62230405,145
"P_0339_26_8_PLAY__","P_0339",164,8,"PLAY","P_0339_26_8_PLAY__.csv",1435,236,26.99237244,146
"P_0348_25_1_BATH__","P_0348",88,1,"BATH","P_0348_25_1_BATH__.csv",1596,68,25.48001052,147
"P_0524_21_3_MEAL__","P_0524",27,3,"MEAL","P_0524_21_3_MEAL__.csv",575,29,21.69910573,148
"P_0394_24_6_NAPPY__","P_0394",136,6,"NAPPY","P_0394_24_6_NAPPY__.csv",1915,136,24.62519726,149
"P_0516_14_2_BED__","P_0516",42,2,"BED","P_0516_14_2_BED__.csv",650,30,14.76196739,150
"P_0277_17_7_PLAY__","P_0277",100,7,"PLAY","P_0277_17_7_PLAY__.csv",1240,162,17.68805892,151
"P_0153_21_4_PLAY__","P_0153",32,4,"PLAY","P_0153_21_4_PLAY__.csv",1118,67,21.92924776,152
